region,district,value,month,indicator
Lower Shabelle,Wanla Weyn,0.327,2008-07-01,ndvi
Bay,Baydhaba,0.321,2008-07-01,ndvi
Bay,Buur Hakaba,0.399,2008-07-01,ndvi
Bay,Diinsoor,0.366,2008-07-01,ndvi
Bay,Qansax Dheere,0.279,2008-07-01,ndvi
Bakool,Xudur,0.202,2008-07-01,ndvi
Bakool,Ceel Barde,0.187,2008-07-01,ndvi
Bakool,Tayeeglow,0.246,2008-07-01,ndvi
Bakool,Waajid,0.211,2008-07-01,ndvi
Bakool,Rab Dhuure,0.141,2008-07-01,ndvi
Lower Shabelle,Marka,0.521,2008-08-01,ndvi
Lower Shabelle,Afgooye,0.42,2008-08-01,ndvi
Lower Shabelle,Baraawe,0.571,2008-08-01,ndvi
Lower Shabelle,Kurtunwaarey,0.6,2008-08-01,ndvi
Lower Shabelle,Qoryooley,0.502,2008-08-01,ndvi
Lower Shabelle,Sablaale,0.549,2008-08-01,ndvi
Lower Shabelle,Wanla Weyn,0.242,2008-08-01,ndvi
Bay,Baydhaba,0.273,2008-08-01,ndvi
Bay,Buur Hakaba,0.341,2008-08-01,ndvi
Bay,Diinsoor,0.308,2008-08-01,ndvi
Bay,Qansax Dheere,0.234,2008-08-01,ndvi
Bakool,Xudur,0.198,2008-08-01,ndvi
Bakool,Ceel Barde,0.188,2008-08-01,ndvi
Bakool,Tayeeglow,0.234,2008-08-01,ndvi
Bakool,Waajid,0.203,2008-08-01,ndvi
Bakool,Rab Dhuure,0.14,2008-08-01,ndvi
Lower Shabelle,Marka,0.551,2008-09-01,ndvi
Lower Shabelle,Afgooye,0.42,2008-09-01,ndvi
Lower Shabelle,Baraawe,0.566,2008-09-01,ndvi
Lower Shabelle,Kurtunwaarey,0.602,2008-09-01,ndvi
Lower Shabelle,Qoryooley,0.527,2008-09-01,ndvi
Lower Shabelle,Sablaale,0.56,2008-09-01,ndvi
Lower Shabelle,Wanla Weyn,0.242,2008-09-01,ndvi
Bay,Baydhaba,0.292,2008-09-01,ndvi
Bay,Buur Hakaba,0.35,2008-09-01,ndvi
Bay,Diinsoor,0.326,2008-09-01,ndvi
Bay,Qansax Dheere,0.234,2008-09-01,ndvi
Bakool,Xudur,0.223,2008-09-01,ndvi
Bakool,Ceel Barde,0.219,2008-09-01,ndvi
Bakool,Tayeeglow,0.27,2008-09-01,ndvi
Bakool,Waajid,0.23,2008-09-01,ndvi
Bakool,Rab Dhuure,0.15,2008-09-01,ndvi
Lower Shabelle,Marka,0.569,2008-10-01,ndvi
Lower Shabelle,Afgooye,0.417,2008-10-01,ndvi
Lower Shabelle,Baraawe,0.504,2008-10-01,ndvi
Lower Shabelle,Kurtunwaarey,0.585,2008-10-01,ndvi
Lower Shabelle,Qoryooley,0.585,2008-10-01,ndvi
Lower Shabelle,Sablaale,0.556,2008-10-01,ndvi
Lower Shabelle,Wanla Weyn,0.314,2008-10-01,ndvi
Bay,Baydhaba,0.464,2008-10-01,ndvi
Bay,Buur Hakaba,0.444,2008-10-01,ndvi
Bay,Diinsoor,0.413,2008-10-01,ndvi
Bay,Qansax Dheere,0.333,2008-10-01,ndvi
Bakool,Xudur,0.357,2008-10-01,ndvi
Bakool,Ceel Barde,0.371,2008-10-01,ndvi
Bakool,Tayeeglow,0.423,2008-10-01,ndvi
Bakool,Waajid,0.419,2008-10-01,ndvi
Bakool,Rab Dhuure,0.247,2008-10-01,ndvi
Lower Shabelle,Marka,0.526,2008-11-01,ndvi
Lower Shabelle,Afgooye,0.381,2008-11-01,ndvi
Lower Shabelle,Baraawe,0.419,2008-11-01,ndvi
Lower Shabelle,Kurtunwaarey,0.572,2008-11-01,ndvi
Lower Shabelle,Qoryooley,0.564,2008-11-01,ndvi
Lower Shabelle,Sablaale,0.553,2008-11-01,ndvi
Lower Shabelle,Wanla Weyn,0.368,2008-11-01,ndvi
Bay,Baydhaba,0.535,2008-11-01,ndvi
Bay,Buur Hakaba,0.507,2008-11-01,ndvi
Bay,Diinsoor,0.493,2008-11-01,ndvi
Bay,Qansax Dheere,0.449,2008-11-01,ndvi
Bakool,Xudur,0.438,2008-11-01,ndvi
Bakool,Ceel Barde,0.435,2008-11-01,ndvi
Bakool,Tayeeglow,0.489,2008-11-01,ndvi
Bakool,Waajid,0.467,2008-11-01,ndvi
Bakool,Rab Dhuure,0.342,2008-11-01,ndvi
Lower Shabelle,Marka,0.434,2008-12-01,ndvi
Lower Shabelle,Afgooye,0.309,2008-12-01,ndvi
Lower Shabelle,Baraawe,0.359,2008-12-01,ndvi
Lower Shabelle,Kurtunwaarey,0.473,2008-12-01,ndvi
Lower Shabelle,Qoryooley,0.432,2008-12-01,ndvi
Lower Shabelle,Sablaale,0.47,2008-12-01,ndvi
Lower Shabelle,Wanla Weyn,0.272,2008-12-01,ndvi
Bay,Baydhaba,0.372,2008-12-01,ndvi
Bay,Buur Hakaba,0.365,2008-12-01,ndvi
Bay,Diinsoor,0.39,2008-12-01,ndvi
Bay,Qansax Dheere,0.351,2008-12-01,ndvi
Bakool,Xudur,0.318,2008-12-01,ndvi
Bakool,Ceel Barde,0.307,2008-12-01,ndvi
Bakool,Tayeeglow,0.341,2008-12-01,ndvi
Bakool,Waajid,0.315,2008-12-01,ndvi
Bakool,Rab Dhuure,0.239,2008-12-01,ndvi
Lower Shabelle,Marka,0.367,2009-01-01,ndvi
Lower Shabelle,Afgooye,0.265,2009-01-01,ndvi
Lower Shabelle,Baraawe,0.302,2009-01-01,ndvi
Lower Shabelle,Kurtunwaarey,0.398,2009-01-01,ndvi
Lower Shabelle,Qoryooley,0.351,2009-01-01,ndvi
Lower Shabelle,Sablaale,0.387,2009-01-01,ndvi
Lower Shabelle,Wanla Weyn,0.227,2009-01-01,ndvi
Bay,Baydhaba,0.29,2009-01-01,ndvi
Bay,Buur Hakaba,0.295,2009-01-01,ndvi
Bay,Diinsoor,0.303,2009-01-01,ndvi
Bay,Qansax Dheere,0.269,2009-01-01,ndvi
Bakool,Xudur,0.246,2009-01-01,ndvi
Bakool,Ceel Barde,0.235,2009-01-01,ndvi
Bakool,Tayeeglow,0.272,2009-01-01,ndvi
Bakool,Waajid,0.243,2009-01-01,ndvi
Bakool,Rab Dhuure,0.182,2009-01-01,ndvi
Lower Shabelle,Marka,0.332,2009-02-01,ndvi
Lower Shabelle,Afgooye,0.243,2009-02-01,ndvi
Lower Shabelle,Baraawe,0.278,2009-02-01,ndvi
Lower Shabelle,Kurtunwaarey,0.369,2009-02-01,ndvi
Lower Shabelle,Qoryooley,0.328,2009-02-01,ndvi
Lower Shabelle,Sablaale,0.352,2009-02-01,ndvi
Lower Shabelle,Wanla Weyn,0.211,2009-02-01,ndvi
Bay,Baydhaba,0.27,2009-02-01,ndvi
Bay,Buur Hakaba,0.277,2009-02-01,ndvi
Bay,Diinsoor,0.272,2009-02-01,ndvi
Bay,Qansax Dheere,0.241,2009-02-01,ndvi
Bakool,Xudur,0.223,2009-02-01,ndvi
Bakool,Ceel Barde,0.218,2009-02-01,ndvi
Bakool,Tayeeglow,0.253,2009-02-01,ndvi
Bakool,Waajid,0.227,2009-02-01,ndvi
Bakool,Rab Dhuure,0.166,2009-02-01,ndvi
Lower Shabelle,Marka,0.315,2009-03-01,ndvi
Lower Shabelle,Afgooye,0.23,2009-03-01,ndvi
Lower Shabelle,Baraawe,0.27,2009-03-01,ndvi
Lower Shabelle,Kurtunwaarey,0.358,2009-03-01,ndvi
Lower Shabelle,Qoryooley,0.322,2009-03-01,ndvi
Lower Shabelle,Sablaale,0.343,2009-03-01,ndvi
Lower Shabelle,Wanla Weyn,0.21,2009-03-01,ndvi
Bay,Baydhaba,0.28,2009-03-01,ndvi
Bay,Buur Hakaba,0.282,2009-03-01,ndvi
Bay,Diinsoor,0.276,2009-03-01,ndvi
Bay,Qansax Dheere,0.246,2009-03-01,ndvi
Bakool,Xudur,0.221,2009-03-01,ndvi
Bakool,Ceel Barde,0.217,2009-03-01,ndvi
Bakool,Tayeeglow,0.253,2009-03-01,ndvi
Bakool,Waajid,0.238,2009-03-01,ndvi
Bakool,Rab Dhuure,0.161,2009-03-01,ndvi
Lower Shabelle,Marka,0.354,2009-04-01,ndvi
Lower Shabelle,Afgooye,0.277,2009-04-01,ndvi
Lower Shabelle,Baraawe,0.31,2009-04-01,ndvi
Lower Shabelle,Kurtunwaarey,0.454,2009-04-01,ndvi
Lower Shabelle,Qoryooley,0.409,2009-04-01,ndvi
Lower Shabelle,Sablaale,0.435,2009-04-01,ndvi
Lower Shabelle,Wanla Weyn,0.273,2009-04-01,ndvi
Bay,Baydhaba,0.412,2009-04-01,ndvi
Bay,Buur Hakaba,0.372,2009-04-01,ndvi
Bay,Diinsoor,0.348,2009-04-01,ndvi
Bay,Qansax Dheere,0.332,2009-04-01,ndvi
Bakool,Xudur,0.284,2009-04-01,ndvi
Bakool,Ceel Barde,0.285,2009-04-01,ndvi
Bakool,Tayeeglow,0.355,2009-04-01,ndvi
Bakool,Waajid,0.335,2009-04-01,ndvi
Bakool,Rab Dhuure,0.176,2009-04-01,ndvi
Lower Shabelle,Marka,0.447,2009-05-01,ndvi
Lower Shabelle,Afgooye,0.431,2009-05-01,ndvi
Lower Shabelle,Baraawe,0.425,2009-05-01,ndvi
Lower Shabelle,Kurtunwaarey,0.66,2009-05-01,ndvi
Lower Shabelle,Qoryooley,0.616,2009-05-01,ndvi
Lower Shabelle,Sablaale,0.631,2009-05-01,ndvi
Lower Shabelle,Wanla Weyn,0.382,2009-05-01,ndvi
Bay,Baydhaba,0.512,2009-05-01,ndvi
Bay,Buur Hakaba,0.525,2009-05-01,ndvi
Bay,Diinsoor,0.498,2009-05-01,ndvi
Bay,Qansax Dheere,0.421,2009-05-01,ndvi
Bakool,Xudur,0.345,2009-05-01,ndvi
Bakool,Ceel Barde,0.334,2009-05-01,ndvi
Bakool,Tayeeglow,0.444,2009-05-01,ndvi
Bakool,Waajid,0.376,2009-05-01,ndvi
Bakool,Rab Dhuure,0.191,2009-05-01,ndvi
Lower Shabelle,Marka,0.529,2009-06-01,ndvi
Lower Shabelle,Afgooye,0.474,2009-06-01,ndvi
Lower Shabelle,Baraawe,0.526,2009-06-01,ndvi
Lower Shabelle,Kurtunwaarey,0.67,2009-06-01,ndvi
Lower Shabelle,Qoryooley,0.629,2009-06-01,ndvi
Lower Shabelle,Sablaale,0.644,2009-06-01,ndvi
Lower Shabelle,Wanla Weyn,0.328,2009-06-01,ndvi
Bay,Baydhaba,0.356,2009-06-01,ndvi
Bay,Buur Hakaba,0.479,2009-06-01,ndvi
Bay,Diinsoor,0.485,2009-06-01,ndvi
Bay,Qansax Dheere,0.342,2009-06-01,ndvi
Bakool,Xudur,0.264,2009-06-01,ndvi
Bakool,Ceel Barde,0.234,2009-06-01,ndvi
Bakool,Tayeeglow,0.307,2009-06-01,ndvi
Bakool,Waajid,0.258,2009-06-01,ndvi
Bakool,Rab Dhuure,0.167,2009-06-01,ndvi
Lower Shabelle,Marka,0.55,2009-07-01,ndvi
Lower Shabelle,Afgooye,0.417,2009-07-01,ndvi
Lower Shabelle,Baraawe,0.582,2009-07-01,ndvi
Lower Shabelle,Kurtunwaarey,0.597,2009-07-01,ndvi
Lower Shabelle,Qoryooley,0.529,2009-07-01,ndvi
Lower Shabelle,Sablaale,0.593,2009-07-01,ndvi
Lower Shabelle,Wanla Weyn,0.236,2009-07-01,ndvi
Bay,Baydhaba,0.267,2009-07-01,ndvi
Bay,Buur Hakaba,0.373,2009-07-01,ndvi
Bay,Diinsoor,0.393,2009-07-01,ndvi
Bay,Qansax Dheere,0.256,2009-07-01,ndvi
Bakool,Xudur,0.209,2009-07-01,ndvi
Bakool,Ceel Barde,0.192,2009-07-01,ndvi
Bakool,Tayeeglow,0.239,2009-07-01,ndvi
Bakool,Waajid,0.208,2009-07-01,ndvi
Bakool,Rab Dhuure,0.143,2009-07-01,ndvi
Lower Shabelle,Marka,0.481,2009-08-01,ndvi
Lower Shabelle,Afgooye,0.329,2009-08-01,ndvi
Lower Shabelle,Baraawe,0.544,2009-08-01,ndvi
Lower Shabelle,Kurtunwaarey,0.518,2009-08-01,ndvi
Lower Shabelle,Qoryooley,0.433,2009-08-01,ndvi
Lower Shabelle,Sablaale,0.544,2009-08-01,ndvi
Lower Shabelle,Wanla Weyn,0.201,2009-08-01,ndvi
Bay,Baydhaba,0.247,2009-08-01,ndvi
Bay,Buur Hakaba,0.318,2009-08-01,ndvi
Bay,Diinsoor,0.336,2009-08-01,ndvi
Bay,Qansax Dheere,0.219,2009-08-01,ndvi
Bakool,Xudur,0.192,2009-08-01,ndvi
Bakool,Ceel Barde,0.186,2009-08-01,ndvi
Bakool,Tayeeglow,0.224,2009-08-01,ndvi
Bakool,Waajid,0.192,2009-08-01,ndvi
Bakool,Rab Dhuure,0.134,2009-08-01,ndvi
Lower Shabelle,Marka,0.386,2009-09-01,ndvi
Lower Shabelle,Afgooye,0.268,2009-09-01,ndvi
Lower Shabelle,Baraawe,0.436,2009-09-01,ndvi
Lower Shabelle,Kurtunwaarey,0.417,2009-09-01,ndvi
Lower Shabelle,Qoryooley,0.35,2009-09-01,ndvi
Lower Shabelle,Sablaale,0.46,2009-09-01,ndvi
Lower Shabelle,Wanla Weyn,0.193,2009-09-01,ndvi
Bay,Baydhaba,0.257,2009-09-01,ndvi
Bay,Buur Hakaba,0.281,2009-09-01,ndvi
Bay,Diinsoor,0.291,2009-09-01,ndvi
Bay,Qansax Dheere,0.22,2009-09-01,ndvi
Bakool,Xudur,0.2,2009-09-01,ndvi
Bakool,Ceel Barde,0.199,2009-09-01,ndvi
Bakool,Tayeeglow,0.239,2009-09-01,ndvi
Bakool,Waajid,0.202,2009-09-01,ndvi
Bakool,Rab Dhuure,0.138,2009-09-01,ndvi
Lower Shabelle,Marka,0.372,2009-10-01,ndvi
Lower Shabelle,Afgooye,0.348,2009-10-01,ndvi
Lower Shabelle,Baraawe,0.405,2009-10-01,ndvi
Lower Shabelle,Kurtunwaarey,0.462,2009-10-01,ndvi
Lower Shabelle,Qoryooley,0.437,2009-10-01,ndvi
Lower Shabelle,Sablaale,0.508,2009-10-01,ndvi
Lower Shabelle,Wanla Weyn,0.297,2009-10-01,ndvi
Bay,Baydhaba,0.412,2009-10-01,ndvi
Bay,Buur Hakaba,0.4,2009-10-01,ndvi
Bay,Diinsoor,0.388,2009-10-01,ndvi
Bay,Qansax Dheere,0.336,2009-10-01,ndvi
Bakool,Xudur,0.33,2009-10-01,ndvi
Bakool,Ceel Barde,0.309,2009-10-01,ndvi
Bakool,Tayeeglow,0.384,2009-10-01,ndvi
Bakool,Waajid,0.33,2009-10-01,ndvi
Bakool,Rab Dhuure,0.198,2009-10-01,ndvi
Lower Shabelle,Marka,0.502,2009-11-01,ndvi
Lower Shabelle,Afgooye,0.513,2009-11-01,ndvi
Lower Shabelle,Baraawe,0.563,2009-11-01,ndvi
Lower Shabelle,Kurtunwaarey,0.689,2009-11-01,ndvi
Lower Shabelle,Qoryooley,0.659,2009-11-01,ndvi
Lower Shabelle,Sablaale,0.722,2009-11-01,ndvi
Lower Shabelle,Wanla Weyn,0.432,2009-11-01,ndvi
Bay,Baydhaba,0.589,2009-11-01,ndvi
Bay,Buur Hakaba,0.589,2009-11-01,ndvi
Bay,Diinsoor,0.593,2009-11-01,ndvi
Bay,Qansax Dheere,0.505,2009-11-01,ndvi
Bakool,Xudur,0.418,2009-11-01,ndvi
Bakool,Ceel Barde,0.367,2009-11-01,ndvi
Bakool,Tayeeglow,0.502,2009-11-01,ndvi
Bakool,Waajid,0.473,2009-11-01,ndvi
Bakool,Rab Dhuure,0.295,2009-11-01,ndvi
Lower Shabelle,Marka,0.454,2009-12-01,ndvi
Lower Shabelle,Afgooye,0.44,2009-12-01,ndvi
Lower Shabelle,Baraawe,0.518,2009-12-01,ndvi
Lower Shabelle,Kurtunwaarey,0.657,2009-12-01,ndvi
Lower Shabelle,Qoryooley,0.599,2009-12-01,ndvi
Lower Shabelle,Sablaale,0.689,2009-12-01,ndvi
Lower Shabelle,Wanla Weyn,0.354,2009-12-01,ndvi
Bay,Baydhaba,0.516,2009-12-01,ndvi
Bay,Buur Hakaba,0.516,2009-12-01,ndvi
Bay,Diinsoor,0.523,2009-12-01,ndvi
Bay,Qansax Dheere,0.453,2009-12-01,ndvi
Bakool,Xudur,0.306,2009-12-01,ndvi
Bakool,Ceel Barde,0.258,2009-12-01,ndvi
Bakool,Tayeeglow,0.378,2009-12-01,ndvi
Bakool,Waajid,0.35,2009-12-01,ndvi
Bakool,Rab Dhuure,0.225,2009-12-01,ndvi
Lower Shabelle,Marka,0.365,2010-01-01,ndvi
Lower Shabelle,Afgooye,0.325,2010-01-01,ndvi
Lower Shabelle,Baraawe,0.397,2010-01-01,ndvi
Lower Shabelle,Kurtunwaarey,0.524,2010-01-01,ndvi
Lower Shabelle,Qoryooley,0.458,2010-01-01,ndvi
Lower Shabelle,Sablaale,0.549,2010-01-01,ndvi
Lower Shabelle,Wanla Weyn,0.265,2010-01-01,ndvi
Bay,Baydhaba,0.379,2010-01-01,ndvi
Bay,Buur Hakaba,0.388,2010-01-01,ndvi
Bay,Diinsoor,0.386,2010-01-01,ndvi
Bay,Qansax Dheere,0.338,2010-01-01,ndvi
Bakool,Xudur,0.237,2010-01-01,ndvi
Bakool,Ceel Barde,0.209,2010-01-01,ndvi
Bakool,Tayeeglow,0.289,2010-01-01,ndvi
Bakool,Waajid,0.252,2010-01-01,ndvi
Bakool,Rab Dhuure,0.173,2010-01-01,ndvi
Lower Shabelle,Marka,0.309,2010-02-01,ndvi
Lower Shabelle,Afgooye,0.256,2010-02-01,ndvi
Lower Shabelle,Baraawe,0.312,2010-02-01,ndvi
Lower Shabelle,Kurtunwaarey,0.398,2010-02-01,ndvi
Lower Shabelle,Qoryooley,0.355,2010-02-01,ndvi
Lower Shabelle,Sablaale,0.414,2010-02-01,ndvi
Lower Shabelle,Wanla Weyn,0.223,2010-02-01,ndvi
Bay,Baydhaba,0.301,2010-02-01,ndvi
Bay,Buur Hakaba,0.308,2010-02-01,ndvi
Bay,Diinsoor,0.307,2010-02-01,ndvi
Bay,Qansax Dheere,0.269,2010-02-01,ndvi
Bakool,Xudur,0.218,2010-02-01,ndvi
Bakool,Ceel Barde,0.204,2010-02-01,ndvi
Bakool,Tayeeglow,0.253,2010-02-01,ndvi
Bakool,Waajid,0.229,2010-02-01,ndvi
Bakool,Rab Dhuure,0.16,2010-02-01,ndvi
Lower Shabelle,Marka,0.296,2010-03-01,ndvi
Lower Shabelle,Afgooye,0.252,2010-03-01,ndvi
Lower Shabelle,Baraawe,0.288,2010-03-01,ndvi
Lower Shabelle,Kurtunwaarey,0.39,2010-03-01,ndvi
Lower Shabelle,Qoryooley,0.362,2010-03-01,ndvi
Lower Shabelle,Sablaale,0.417,2010-03-01,ndvi
Lower Shabelle,Wanla Weyn,0.226,2010-03-01,ndvi
Bay,Baydhaba,0.377,2010-03-01,ndvi
Bay,Buur Hakaba,0.336,2010-03-01,ndvi
Bay,Diinsoor,0.372,2010-03-01,ndvi
Bay,Qansax Dheere,0.321,2010-03-01,ndvi
Bakool,Xudur,0.255,2010-03-01,ndvi
Bakool,Ceel Barde,0.243,2010-03-01,ndvi
Bakool,Tayeeglow,0.287,2010-03-01,ndvi
Bakool,Waajid,0.312,2010-03-01,ndvi
Bakool,Rab Dhuure,0.209,2010-03-01,ndvi
Lower Shabelle,Marka,0.344,2010-04-01,ndvi
Lower Shabelle,Afgooye,0.347,2010-04-01,ndvi
Lower Shabelle,Baraawe,0.388,2010-04-01,ndvi
Lower Shabelle,Kurtunwaarey,0.519,2010-04-01,ndvi
Lower Shabelle,Qoryooley,0.499,2010-04-01,ndvi
Lower Shabelle,Sablaale,0.578,2010-04-01,ndvi
Lower Shabelle,Wanla Weyn,0.318,2010-04-01,ndvi
Bay,Baydhaba,0.513,2010-04-01,ndvi
Bay,Buur Hakaba,0.467,2010-04-01,ndvi
Bay,Diinsoor,0.506,2010-04-01,ndvi
Bay,Qansax Dheere,0.431,2010-04-01,ndvi
Bakool,Xudur,0.344,2010-04-01,ndvi
Bakool,Ceel Barde,0.338,2010-04-01,ndvi
Bakool,Tayeeglow,0.424,2010-04-01,ndvi
Bakool,Waajid,0.418,2010-04-01,ndvi
Bakool,Rab Dhuure,0.273,2010-04-01,ndvi
Lower Shabelle,Marka,0.433,2010-05-01,ndvi
Lower Shabelle,Afgooye,0.456,2010-05-01,ndvi
Lower Shabelle,Baraawe,0.537,2010-05-01,ndvi
Lower Shabelle,Kurtunwaarey,0.626,2010-05-01,ndvi
Lower Shabelle,Qoryooley,0.624,2010-05-01,ndvi
Lower Shabelle,Sablaale,0.679,2010-05-01,ndvi
Lower Shabelle,Wanla Weyn,0.42,2010-05-01,ndvi
Bay,Baydhaba,0.532,2010-05-01,ndvi
Bay,Buur Hakaba,0.559,2010-05-01,ndvi
Bay,Diinsoor,0.533,2010-05-01,ndvi
Bay,Qansax Dheere,0.451,2010-05-01,ndvi
Bakool,Xudur,0.376,2010-05-01,ndvi
Bakool,Ceel Barde,0.349,2010-05-01,ndvi
Bakool,Tayeeglow,0.469,2010-05-01,ndvi
Bakool,Waajid,0.396,2010-05-01,ndvi
Bakool,Rab Dhuure,0.253,2010-05-01,ndvi
Lower Shabelle,Marka,0.479,2010-06-01,ndvi
Lower Shabelle,Afgooye,0.437,2010-06-01,ndvi
Lower Shabelle,Baraawe,0.536,2010-06-01,ndvi
Lower Shabelle,Kurtunwaarey,0.569,2010-06-01,ndvi
Lower Shabelle,Qoryooley,0.558,2010-06-01,ndvi
Lower Shabelle,Sablaale,0.6,2010-06-01,ndvi
